Title,"Release Date","IMDb Url",Format,Distributor,"Added Date"
"Date Movie",2006,https://www.imdb.com/title/tt0466342/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 30, 2026"
"Dawn of the Planet of the Apes",2014,https://www.imdb.com/title/tt2103281/?ref_=ref_ext_clz,Blu-ray,"20th Century Fox","Mar 29, 2026"
"Dawn of the Planet of the Apes",2014,https://www.imdb.com/title/tt2103281/?ref_=ref_ext_clz,DVD,,"Mar 30, 2026"
"Dead Silence",2007,https://www.imdb.com/title/tt0455760/?ref_=ref_ext_clz,DVD,Universal,"Mar 10, 2026"
"Dead Silence",2007,https://www.imdb.com/title/tt0455760/?ref_=ref_ext_clz,DVD,Universal,"Mar 30, 2026"
Deadpool,2016,https://www.imdb.com/title/tt1431045/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
"Deadpool 2",2018,https://www.imdb.com/title/tt5463162/?ref_=ref_ext_clz,DVD,"Marvel Studios","Mar 29, 2026"
"The Debt",2010,https://www.imdb.com/title/tt1226753/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
"Deepwater Horizon",2016,https://www.imdb.com/title/tt1860357/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
"Desperate Housewives: Season 2",2006,https://www.imdb.com/title/tt0410975/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Desperate Housewives: Season 3",2006,https://www.imdb.com/title/tt0410975/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Die Another Day",2002,https://www.imdb.com/title/tt0246460/?ref_=ref_ext_clz,DVD,MGM/UA,"Mar 15, 2026"
"Dinner for Schmucks",2010,https://www.imdb.com/title/tt0427152/?ref_=ref_ext_clz,DVD,"Paramount Pictures","Mar 29, 2026"
Dinosaur,2000,https://www.imdb.com/title/tt0130623/?ref_=ref_ext_clz,DVD,"Walt Disney","Mar 15, 2026"
"Dirty Dancing",1987,https://www.imdb.com/title/tt0092890/?ref_=ref_ext_clz,DVD,"Lions Gate","Mar 15, 2026"
"Dirty Dancing / Love Actually / My Best Friend's Wedding",2009,,DVD,,"Mar 05, 2026"
"District 9",2009,https://www.imdb.com/title/tt1136608/?ref_=ref_ext_clz,DVD,Sony,"Mar 29, 2026"
"Doctor Who: Season 3",2007,https://www.imdb.com/title/tt0436992/?ref_=ref_ext_clz,DVD,"2 Entertain Video","Mar 10, 2026"
"Doctor Who: Season 3",2007,https://www.imdb.com/title/tt0436992/?ref_=ref_ext_clz,DVD,"2 Entertain Video","Mar 15, 2026"
"Doctor Who: Season 5",2010,https://www.imdb.com/title/tt0436992/?ref_=ref_ext_clz,Blu-ray,"2 Entertain Video","Mar 29, 2026"
"Doctor Who: Season 6",2010,https://www.imdb.com/title/tt0436992/?ref_=ref_ext_clz,Blu-ray,"BBC Worldwide","Mar 29, 2026"
"Doctor Who: Series 1-4",2005,https://www.imdb.com/title/tt0436992/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
"Doctor Who: The Complete Specials",2021,https://www.imdb.com/title/tt0436992/?ref_=ref_ext_clz,Blu-ray,,"Mar 29, 2026"
"Dodgeball / Stuck On You / Theres Something About Mary",,,DVD,,"Mar 16, 2026"
"Dodgeball: A True Underdog Story",2004,https://www.imdb.com/title/tt0364725/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 16, 2026"
"Dodgeball: A True Underdog Story",2004,https://www.imdb.com/title/tt0364725/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 30, 2026"
Doom,2005,https://www.imdb.com/title/tt0419706/?ref_=ref_ext_clz,DVD,Universal,"Mar 29, 2026"
"The Doorman",2020,https://www.imdb.com/title/tt6222118/?ref_=ref_ext_clz,DVD,"Lion's Gate Home Entertainment","Mar 05, 2026"
"Downton Abbey: Season 1",2011,https://www.imdb.com/title/tt1606375/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Downton Abbey: Season 1",2011,https://www.imdb.com/title/tt1606375/?ref_=ref_ext_clz,DVD,,"Mar 12, 2026"
"Downton Abbey: Season 3",2013,https://www.imdb.com/title/tt1606375/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Downton Abbey: Season 5",2015,https://www.imdb.com/title/tt1606375/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Downton Abbey: Season 6",2016,https://www.imdb.com/title/tt1606375/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Downton Abbey: Series 1-3",2010,https://www.imdb.com/title/tt1606375/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Downton Abbey: Series 1-3",2010,https://www.imdb.com/title/tt1606375/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
"Downton Abbey: Season 2",2012,https://www.imdb.com/title/tt1606375/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Driving Lessons",2006,https://www.imdb.com/title/tt0446687/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Dude, Where's My Car?",2000,https://www.imdb.com/title/tt0242423/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 16, 2026"
"Due Date",2010,https://www.imdb.com/title/tt1231583/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 29, 2026"
"The Dukes of Hazzard",2005,https://www.imdb.com/title/tt0377818/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 16, 2026"
"Dumb and Dumber",1994,https://www.imdb.com/title/tt0109686/?ref_=ref_ext_clz,DVD,,"Mar 16, 2026"
"Dumb and Dumber",1994,https://www.imdb.com/title/tt0109686/?ref_=ref_ext_clz,DVD,"Entertainment In Video","Mar 16, 2026"
"Eastern Promises",2007,https://www.imdb.com/title/tt0765443/?ref_=ref_ext_clz,DVD,"Pathe Distribution","Mar 30, 2026"
"Elementary: Season 1",2012,https://www.imdb.com/title/tt2191671/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
Elf,2003,https://www.imdb.com/title/tt0319343/?ref_=ref_ext_clz,DVD,,"Mar 12, 2026"
Elf,2003,https://www.imdb.com/title/tt0319343/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
Elf,2003,https://www.imdb.com/title/tt0319343/?ref_=ref_ext_clz,DVD,"Entertainment In Video","Mar 30, 2026"
"Entourage: Season 5",2008,https://www.imdb.com/title/tt0387199/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
"Entourage: Season 6",2009,https://www.imdb.com/title/tt0387199/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
"ER: Season 1",1994,https://www.imdb.com/title/tt0108757/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 10, 2026"
"ER: Season 2",1995,https://www.imdb.com/title/tt0108757/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 10, 2026"
"Escape Plan: The Extractors",2019,https://www.imdb.com/title/tt6772804/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Eternal Sunshine of the Spotless Mind",2004,https://www.imdb.com/title/tt0338013/?ref_=ref_ext_clz,DVD,"Momentum Pictures","Mar 30, 2026"
"Exodus: Gods and Kings",2014,https://www.imdb.com/title/tt1528100/?ref_=ref_ext_clz,Blu-ray,"20th Century Fox","Mar 29, 2026"
"The Expendables 2",2012,https://www.imdb.com/title/tt1764651/?ref_=ref_ext_clz,DVD,"Lion's Gate Home Entertainment","Mar 30, 2026"
"Extras: Season 2",2007,https://www.imdb.com/title/tt0445114/?ref_=ref_ext_clz,DVD,Universal,"Mar 29, 2026"
"Extremely Loud & Incredibly Close",2011,https://www.imdb.com/title/tt0477302/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
Fame,1980,https://www.imdb.com/title/tt0080716/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 29, 2026"
"Family Guy: Happy Freakin' Xmas",2024,https://www.imdb.com/title/tt0182576/?ref_=ref_ext_clz,DVD,,"Mar 16, 2026"
"Family Guy: Season 3",2001,https://www.imdb.com/title/tt0182576/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Fantastic Beasts and Where to Find Them",2016,https://www.imdb.com/title/tt3183660/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 05, 2026"
"Fantastic Beasts: The Crimes of Grindelwald",2018,https://www.imdb.com/title/tt4123430/?ref_=ref_ext_clz,DVD,"Walt Disney","Mar 05, 2026"
"Fantastic Beasts: The Secrets of Dumbledore",2022,https://www.imdb.com/title/tt4123432/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Fast & Furious",2009,https://www.imdb.com/title/tt1013752/?ref_=ref_ext_clz,DVD,Universal,"Mar 29, 2026"
"2 Fast 2 Furious",2003,https://www.imdb.com/title/tt0322259/?ref_=ref_ext_clz,DVD,Universal,"Mar 05, 2026"
"Father Ted: Season 3",1998,https://www.imdb.com/title/tt0111958/?ref_=ref_ext_clz,DVD,,"Mar 30, 2026"
